name1	name2	weight
John Boozman	Al Franken	45
Richard J. Durbin	Robert Menendez	90
Harry Reid	Jeff Sessions	4
Lisa Murkowski	Tim Scott	36
James E. Risch	Heidi Heitkamp	23
Susan M. Collins	Jeff Chiesa	5
Lindsey Graham	Rob Portman	56
Christopher Murphy	Marco Rubio	29
Roger F. Wicker	Al Franken	45
Debbie Stabenow	Heidi Heitkamp	45
Charles E. Schumer	Johnny Isakson	45
Daniel Coats	Richard C. Shelby	18
John McCain	Martin Heinrich	16
Debbie Stabenow	Mazie K. Hirono	74
Bob Corker	Mike Lee	15
Patty Murray	Jeanne Shaheen	65
Ron Johnson	Brian Schatz	5
Tim Johnson	Mary L. Landrieu	53
Tammy Baldwin	Richard Blumenthal	105
Tom Udall	Jeff Chiesa	1
Rob Portman	Johnny Isakson	76
Barbara Boxer	James M. Inhofe	16
Patrick J. Toomey	Heidi Heitkamp	20
Susan M. Collins	Elizabeth Warren	68
Roger F. Wicker	Heidi Heitkamp	36
Tammy Baldwin	Christopher Murphy	72
Frank R. Lautenberg	Jeff Merkley	33
Benjamin L. Cardin	Mary L. Landrieu	70
Charles E. Schumer	Richard Blumenthal	151
Michael B. Enzi	John Barrasso	133
Bernard Sanders	Jeff Sessions	7
Maria Cantwell	Tom Harkin	52
Tom Coburn	Jeff Sessions	46
Harry Reid	Mark R. Warner	18
Carl Levin	Jeff Merkley	45
Amy Klobuchar	Dean Heller	60
Patrick J. Leahy	Michael F. Bennet	43
Marco Rubio	Tim Kaine	28
Christopher A. Coons	William M. Cowan	18
Bernard Sanders	William M. Cowan	18
Robert Menendez	Rand Paul	3
Amy Klobuchar	Mark Begich	134
John Boozman	Cory A. Booker	14
James M. Inhofe	John Thune	97
Richard C. Shelby	Mitch McConnell	21
Harry Reid	Roy Blunt	11
Chuck Grassley	Jeff Sessions	49
Barbara A. Mikulski	Al Franken	78
Tim Johnson	William M. Cowan	13
Richard C. Shelby	Carl Levin	4
Sherrod Brown	Al Franken	117
Jeff Sessions	Marco Rubio	50
Michael B. Enzi	Tammy Baldwin	20
John Cornyn	Jon Tester	26
Chuck Grassley	Kay R. Hagan	23
Ron Johnson	Angus S. King, Jr.	7
Mazie K. Hirono	Brian Schatz	131
John McCain	John D. Rockefeller, IV	8
Benjamin L. Cardin	Dianne Feinstein	67
James M. Inhofe	Robert P. Casey, Jr.	24
Jeanne Shaheen	Heidi Heitkamp	50
Charles E. Schumer	Martin Heinrich	76
Mike Crapo	Lisa Murkowski	63
Pat Roberts	Richard Blumenthal	37
Max Baucus	Mary L. Landrieu	24
Pat Roberts	Michael B. Enzi	122
Ron Wyden	Tim Kaine	32
Sherrod Brown	Jeanne Shaheen	94
John D. Rockefeller, IV	Tim Kaine	31
Roger F. Wicker	Bob Corker	27
Barbara Boxer	Amy Klobuchar	102
Johnny Isakson	Mark Kirk	74
Max Baucus	Deb Fischer	4
Frank R. Lautenberg	Jeff Flake	1
Max Baucus	Roger F. Wicker	17
Tom Coburn	Jeanne Shaheen	20
Tammy Baldwin	Angus S. King, Jr.	50
Bill Nelson	Martin Heinrich	38
Richard Burr	Richard J. Durbin	26
Barbara A. Mikulski	Cory A. Booker	50
Chuck Grassley	Tim Scott	51
Lindsey Graham	Ted Cruz	35
Carl Levin	John Hoeven	5
Jeff Flake	Mark L. Pryor	21
Max Baucus	Christopher A. Coons	25
Mark R. Warner	William M. Cowan	10
John Boozman	Sheldon Whitehouse	28
Orrin G. Hatch	John Cornyn	77
Thomas R. Carper	Michael F. Bennet	28
Jeff Flake	James E. Risch	66
Richard Burr	Dianne Feinstein	23
Frank R. Lautenberg	Lisa Murkowski	11
Richard Burr	Richard C. Shelby	20
John Cornyn	Mazie K. Hirono	16
Pat Roberts	Roy Blunt	116
Bill Nelson	Amy Klobuchar	74
Tim Johnson	Elizabeth Warren	66
Roger F. Wicker	Mark R. Warner	43
Richard C. Shelby	Patrick J. Leahy	4
Sheldon Whitehouse	William M. Cowan	27
Robert Menendez	Bob Corker	18
Bob Corker	Martin Heinrich	8
Jerry Moran	Tammy Baldwin	28
Pat Roberts	Christopher A. Coons	36
Joe Donnelly	Rand Paul	5
Richard J. Durbin	David Vitter	23
Tom Harkin	Angus S. King, Jr.	44
Benjamin L. Cardin	Mike Lee	7
Joe Donnelly	Mark R. Warner	29
Christopher A. Coons	Richard Blumenthal	126
John Thune	Bob Corker	33
Carl Levin	John Barrasso	4
Mike Crapo	William M. Cowan	2
Mike Crapo	Bob Corker	24
Harry Reid	Michael B. Enzi	8
Max Baucus	Joe Donnelly	14
Bill Nelson	Mark R. Warner	43
Tammy Baldwin	Elizabeth Warren	93
Frank R. Lautenberg	Mark Udall	16
